Wall time,Step,Value
1720319951.2675056,100744,199.0
1720319951.5592375,100808,245.0
1720319952.0475192,100920,203.0
1720319952.9933217,101144,247.0
1720319954.6570442,101528,247.0
1720319954.9036624,101576,298.0
1720319955.2314765,101648,249.0
1720319956.6489913,101952,251.0
1720319958.5866854,102360,202.0
1720320642.7391346,102504,198.0
1720320643.7372613,102736,199.0
1720320643.9886174,102792,248.0
1720320645.6019828,103152,203.0
1720320647.3772624,103552,200.0
1720320647.6234202,103608,245.0
1720320649.1034765,103944,198.0
1720320649.1481767,103952,297.0
1720320649.9727383,104128,203.0
1720320652.5880885,104728,249.0
1720320652.960857,104808,252.0
1720320653.5719132,104944,124.0
1720320654.6623228,105184,204.0
1720321341.9573112,105920,247.0
1720321343.6286912,106304,197.0
1720321343.7112684,106320,198.0
1720321345.90375,106800,249.0
1720321347.4539528,107152,246.0
1720321347.6131005,107184,250.0
1720321348.1520562,107304,295.0
1720321348.417686,107360,205.0
1720321349.0824144,107512,199.0
1720321350.7222059,107896,197.0
1720321350.8030632,107912,201.0
1720321354.0955148,108672,171.0
1720321354.5807705,108776,247.0
1720321354.6280026,108784,204.0
1720322037.548295,108968,201.0
1720322038.4510863,109176,249.0
1720322039.8799798,109496,248.0
1720322039.9335048,109504,201.0
1720322043.7281275,110368,199.0
1720322043.777101,110376,199.0
1720322044.6635356,110568,200.0
1720322044.9946375,110648,247.0
1720322047.1601841,111144,246.0
1720322048.5424583,111472,246.0
1720322048.653379,111496,249.0
1720322048.852648,111544,256.0
1720322050.599503,111968,200.0
1720322730.1823232,112168,200.0
1720322730.4753425,112232,198.0
1720322732.7659972,112760,202.0
1720322732.8086395,112768,299.0
1720322735.328208,113328,229.0
1720322735.992684,113464,249.0
1720322736.262525,113520,247.0
1720322737.3698707,113752,198.0
1720322737.8177948,113848,202.0
1720322740.129519,114352,298.0
1720322740.1777365,114360,199.0
1720322740.2260563,114368,201.0
1720322742.923675,114920,199.0
1720322744.2329695,115192,209.0
1720323427.023221,115304,230.0
1720323427.138289,115328,197.0
1720323427.626573,115432,198.0
1720323431.5746634,116344,248.0
1720323431.6175275,116352,250.0
1720323432.3425608,116512,199.0
1720323434.10069,116904,197.0
1720323434.1445909,116912,201.0
1720323434.3066342,116944,198.0
